Project Code,Data Type,RES_SEC,Date,Hour,Value
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,6,737.204
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,7,737.2
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,8,737.194
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,9,737.182
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,10,737.18
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,11,737.171
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,12,737.16
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,13,737.162
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,14,737.152
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,15,737.15
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,16,737.141
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,17,737.131
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,18,737.13
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,19,737.12
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,20,737.111
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,21,737.108
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,22,737.109
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,23,737.098
LAJ,RSE,R1 - Downtown Reservoir,2010-01-04,24,737.091
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,1,737.087
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,2,737.077
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,3,737.067
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,4,737.06
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,5,737.056
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,6,737.053
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,7,737.047
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,8,737.03
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,9,737.037
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,10,737.022
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,11,737.011
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,12,737.01
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,13,737.009
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,14,736.999
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,15,736.99
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,16,736.987
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,17,736.971
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,18,736.971
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,19,736.966
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,20,736.953
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,21,736.95
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,22,736.949
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,23,736.941
LAJ,RSE,R1 - Downtown Reservoir,2010-01-05,24,736.939
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,1,736.924
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,2,736.914
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,3,736.915
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,4,736.904
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,5,736.891
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,6,736.896
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,7,736.886
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,8,736.874
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,9,736.872
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,10,736.861
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,11,736.858
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,12,736.86
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,13,736.842
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,14,736.86
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,15,736.83
LAJ,RSE,R1 - Downtown Reservoir,2010-01-06,16,736.81
